,GAME_ID,H_TEAM,A_TEAM,H_POINTS,A_POINTS,TOTAL,M_OF_VIC,WINNER
1131,21401132.0,Oklahoma City Thunder,Memphis Grizzlies,92.0,100.0,192.0,8.0,Memphis Grizzlies
1132,21401133.0,Orlando Magic,Minnesota Timberwolves,97.0,84.0,181.0,13.0,Orlando Magic
1133,21401134.0,Denver Nuggets,San Antonio Spurs,93.0,123.0,216.0,30.0,San Antonio Spurs
1134,21401135.0,New Orleans Pelicans,Sacramento Kings,101.0,95.0,196.0,6.0,New Orleans Pelicans
1135,21401136.0,Portland Trail Blazers,Los Angeles Lakers,107.0,77.0,184.0,30.0,Portland Trail Blazers
1136,21401137.0,Philadelphia 76ers,Charlotte Hornets,91.0,92.0,183.0,1.0,Charlotte Hornets
1137,21401138.0,Brooklyn Nets,Atlanta Hawks,99.0,131.0,230.0,32.0,Atlanta Hawks
1138,21401139.0,Miami Heat,Detroit Pistons,98.0,99.0,197.0,1.0,Detroit Pistons
1139,21401140.0,Boston Celtics,Toronto Raptors,117.0,116.0,233.0,1.0,Boston Celtics
1140,21401141.0,Washington Wizards,Memphis Grizzlies,92.0,83.0,175.0,9.0,Washington Wizards
1141,21401142.0,Golden State Warriors,Dallas Mavericks,123.0,110.0,233.0,13.0,Golden State Warriors
1142,21401143.0,Orlando Magic,Milwaukee Bucks,97.0,90.0,187.0,7.0,Orlando Magic
1143,21401144.0,Los Angeles Clippers,Denver Nuggets,107.0,92.0,199.0,15.0,Los Angeles Clippers
1144,21401145.0,Utah Jazz,Phoenix Suns,85.0,87.0,172.0,2.0,Phoenix Suns
1145,21401146.0,New Orleans Pelicans,Portland Trail Blazers,90.0,99.0,189.0,9.0,Portland Trail Blazers
1146,21401147.0,Houston Rockets,Oklahoma City Thunder,115.0,112.0,227.0,3.0,Houston Rockets
1147,21401148.0,Chicago Bulls,Cleveland Cavaliers,94.0,99.0,193.0,5.0,Cleveland Cavaliers
1148,21401149.0,Miami Heat,Indiana Pacers,89.0,112.0,201.0,23.0,Indiana Pacers
