,GAME_ID,H_TEAM,A_TEAM,H_POINTS,A_POINTS,TOTAL,M_OF_VIC,WINNER,PLUS_MINUS,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_STL,H_BLK,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_STL,A_BLK
3905,21700439.0,Indiana Pacers,Brooklyn Nets,109.0,97.0,206.0,12.0,Indiana Pacers,12.0,0.444,0.789,43.0,21.0,6.0,7.0,0.364,0.81,29.0,26.0,7.0,2.0
3906,21700414.0,New York Knicks,Brooklyn Nets,111.0,104.0,215.0,111.0,New York Knicks,7.0,0.5,0.8640000000000001,40.0,23.0,11.0,4.0,0.286,0.7829999999999999,43.0,21.0,10.0,4.0
3907,21700376.0,,Brooklyn Nets,0.0,89.0,89.0,89.0,Brooklyn Nets,12.0,,,,,,,0.259,0.8420000000000001,43.0,16.0,3.0,3.0
3908,21700342.0,Brooklyn Nets,,110.0,0.0,110.0,110.0,Brooklyn Nets,20.0,0.417,0.867,52.0,29.0,7.0,6.0,,,,,,
3909,21700310.0,Brooklyn Nets,,109.0,0.0,109.0,109.0,Brooklyn Nets,5.0,0.379,0.56,52.0,25.0,5.0,1.0,,,,,,
3910,21700289.0,Brooklyn Nets,Memphis Grizzlies,98.0,88.0,186.0,88.0,Memphis Grizzlies,10.0,0.4479999999999999,0.826,43.0,19.0,7.0,7.0,0.32,0.889,35.0,15.0,8.0,3.0
3911,21700254.0,Brooklyn Nets,,109.0,0.0,109.0,109.0,Brooklyn Nets,10.0,0.3779999999999999,0.688,42.0,26.0,5.0,2.0,,,,,,
3912,21700219.0,Utah Jazz,Brooklyn Nets,107.0,118.0,225.0,107.0,Utah Jazz,11.0,0.462,0.708,39.0,21.0,6.0,6.0,0.4589999999999999,0.75,36.0,27.0,8.0,2.0
3913,21700187.0,Brooklyn Nets,Utah Jazz,106.0,114.0,220.0,8.0,Utah Jazz,8.0,0.304,0.7440000000000001,41.0,13.0,7.0,4.0,0.379,0.84,44.0,19.0,12.0,3.0
3914,21700155.0,Brooklyn Nets,,104.0,0.0,104.0,104.0,Brooklyn Nets,8.0,0.314,0.773,47.0,22.0,12.0,6.0,,,,,,
3915,21700130.0,Brooklyn Nets,,112.0,0.0,112.0,112.0,Brooklyn Nets,12.0,0.237,0.763,43.0,23.0,8.0,5.0,,,,,,
3916,21700087.0,,Brooklyn Nets,0.0,111.0,111.0,111.0,Brooklyn Nets,13.0,,,,,,,0.387,0.677,56.0,24.0,5.0,4.0
3917,21700058.0,,Brooklyn Nets,0.0,112.0,112.0,112.0,Brooklyn Nets,5.0,,,,,,,0.37,0.7140000000000001,38.0,22.0,11.0,3.0
3918,21700038.0,,Brooklyn Nets,0.0,116.0,116.0,116.0,Brooklyn Nets,12.0,,,,,,,0.407,0.6759999999999999,51.0,27.0,12.0,8.0
3919,21700004.0,Brooklyn Nets,Indiana Pacers,131.0,140.0,271.0,140.0,Indiana Pacers,9.0,0.4,0.906,43.0,22.0,7.0,2.0,0.265,0.7809999999999999,47.0,29.0,12.0,9.0
