,GAME_ID,PTS
4318,21400735,191
6474,21400736,218
5934,21400737,203
12386,21400738,193
11850,21400739,213
13463,21400740,190
2705,21400741,242
15611,21400742,181
4855,21400743,199
11313,21400744,179
10772,21400745,195
8082,21400746,180
9154,21400747,202
5395,21400748,200
3787,21400749,240
9693,21400750,203
3245,21400751,186
12922,21400752,230
4317,21400753,228
14001,21400754,179
1636,21400755,229
13462,21400756,193
11849,21400757,183
1635,21400758,179
7543,21400759,191
8081,21400760,198
9692,21400761,170
2703,21400762,212
566,21400763,189
11312,21400764,192
4853,21400765,239
5394,21400766,225
14000,21400767,182
15609,21400768,205
15075,21400769,213
2173,21400770,195
10770,21400771,207
11848,21400772,169
11311,21400773,168
11847,21400774,188
9691,21400775,173
14536,21400776,176
8080,21400777,204
6471,21400778,200
7010,21400779,222
1634,21400780,196
4852,21400781,213
3244,21400782,238
15608,21400783,184
10229,21400784,245
11310,21400785,190
13999,21400786,181
5393,21400787,202
8079,21400788,172
565,21400789,177
15073,21400790,191
14535,21400791,188
6470,21400792,214
3784,21400793,185
1633,21400794,199
12382,21400795,194
5931,21400796,206
13459,21400797,169
5392,21400798,188
4851,21400799,205
1100,21400800,211
12381,21400801,193
4850,21400802,234
8609,21400803,179
9150,21400804,201
12919,21400805,185
2170,21400806,191
5930,21400807,198
10228,21400808,220
14534,21400809,216
4313,21400810,211
3242,21400811,170
10768,21400812,168
11308,21400813,210
3783,21400814,209
7540,21400815,219
15607,21400816,213
1631,21400817,196
2169,21400818,219
12918,21400819,174
4849,21400820,225
8077,21400821,184
26,21400822,183
14533,21400823,195
3782,21400824,202
9689,21400825,201
12379,21400826,213
2698,21400827,173
13997,21400828,190
563,21400829,229
9688,21400830,227
6467,21400831,158
4311,21400832,215
1630,21400833,197
7539,21400834,192
10226,21400835,225
11843,21400836,171
4848,21400837,177
14532,21400838,221
1097,21400839,195
9148,21400840,197
12916,21400841,191
8607,21400842,183
25,21400843,191
561,21400844,209
2167,21400845,184
4310,21400846,215
9687,21400847,192
7006,21400848,174
1629,21400849,198
10225,21400850,206
5389,21400851,197
13995,21400852,192
10766,21400853,206
1096,21400854,209
12377,21400855,230
9147,21400856,179
9686,21400857,170
8606,21400858,183
15604,21400859,204
15069,21400860,236
3779,21400861,202
2166,21400862,185
7537,21400863,200
4846,21400864,176
5926,21400865,206
13455,21400866,186
11305,21400867,203
5388,21400868,194
12376,21400869,227
14529,21400870,194
5925,21400871,184
8074,21400872,201
13993,21400873,198
2695,21400874,198
11840,21400875,175
13454,21400876,157
4845,21400877,182
5387,21400878,209
10764,21400879,209
3778,21400880,207
9685,21400881,168
15603,21400882,181
1094,21400883,208
1627,21400884,191
9684,21400885,217
3777,21400886,218
5924,21400887,213
4844,21400888,215
2694,21400889,195
5386,21400890,207
558,21400891,189
4307,21400892,200
14528,21400893,189
13992,21400894,175
3236,21400895,201
9145,21400896,187
10221,21400897,205
557,21400898,169
15601,21400899,206
1092,21400900,232
4306,21400901,202
7002,21400902,185
1625,21400903,173
12374,21400904,241
5923,21400905,194
11839,21400906,197
6462,21400907,195
10763,21400908,191
12373,21400909,213
10762,21400910,169
12911,21400911,197
9144,21400912,182
8603,21400913,233
13451,21400914,172
1091,21400915,203
10220,21400916,208
4305,21400917,196
5384,21400918,187
1624,21400919,202
5922,21400920,196
3234,21400921,231
2692,21400922,193
1623,21400923,184
1090,21400924,168
5921,21400925,223
