,GAME_ID,H_TEAM,A_TEAM,H_POINTS,A_POINTS,TOTAL,M_OF_VIC,WINNER,PLUS_MINUS,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_STL,H_BLK,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_STL,A_BLK,H_LAST_15_FG3_PCT,H_LAST_15_FT_PCT,H_LAST_15_REB,H_LAST_15_AST,H_LAST_15_STL,H_LAST_15_BLK,A_LAST_15_FG3_PCT,A_LAST_15_FT_PCT,A_LAST_15_REB,A_LAST_15_AST,A_LAST_15_STL,A_LAST_15_BLK
5279,21800360,Los Angeles Clippers,Memphis Grizzlies,86,96,182,10,Memphis Grizzlies,10,0.348,0.8,47,16,9,4,0.25,0.625,49,18,9,6,0.38493333333333335,0.7981333333333333,46.266666666666666,23.266666666666666,6.066666666666666,4.8,0.35786666666666667,0.7674666666666667,39.2,23.8,8.066666666666666,7.333333333333333
5280,21800361,Detroit Pistons,Milwaukee Bucks,92,115,207,23,Milwaukee Bucks,23,0.237,0.684,51,19,6,1,0.341,0.833,46,25,13,4,0.31806666666666666,0.7333333333333333,47.2,22.066666666666666,8.066666666666666,3.6666666666666665,0.3484,0.7495333333333333,48.13333333333333,27.6,7.6,5.4
5281,21800362,Charlotte Hornets,Minnesota Timberwolves,104,121,225,17,Minnesota Timberwolves,17,0.364,0.8,40,27,7,1,0.5,0.65,50,34,6,11,0.34393333333333326,0.7888666666666667,44.0,24.2,8.4,4.533333333333333,0.35879999999999995,0.7971333333333334,44.266666666666666,23.066666666666666,9.466666666666667,4.8
5282,21800363,Dallas Mavericks,New Orleans Pelicans,106,132,238,26,New Orleans Pelicans,26,0.304,0.667,45,26,7,4,0.586,0.65,46,36,12,6,0.3793999999999999,0.7437333333333332,46.06666666666667,22.2,8.133333333333333,4.6,0.3446666666666667,0.7779333333333334,49.2,27.333333333333332,6.866666666666666,5.933333333333334
5283,21800364,San Antonio Spurs,Los Angeles Lakers,113,121,234,8,Los Angeles Lakers,8,0.259,1.0,49,18,8,2,0.359,0.6970000000000001,42,21,6,3,0.4044666666666667,0.8308666666666668,43.0,23.2,5.266666666666667,4.266666666666667,0.34373333333333334,0.6956666666666667,47.53333333333333,22.6,7.933333333333334,6.533333333333333
5284,21800365,New York Knicks,Boston Celtics,100,128,228,28,Boston Celtics,28,0.34299999999999997,0.8,47,21,4,5,0.342,0.85,46,32,8,6,0.3447333333333333,0.7912,47.53333333333333,18.466666666666665,7.0,6.533333333333333,0.36233333333333334,0.8073333333333335,44.266666666666666,25.466666666666665,9.333333333333334,5.466666666666667
5285,21800366,Phoenix Suns,Portland Trail Blazers,86,108,194,22,Portland Trail Blazers,22,0.185,0.7859999999999999,41,20,11,2,0.33299999999999996,0.63,56,24,10,6,0.3358,0.7857333333333334,39.0,22.866666666666667,9.0,4.933333333333334,0.3476666666666667,0.7898000000000001,48.4,20.666666666666668,6.333333333333333,4.2
5286,21800367,Houston Rockets,Utah Jazz,91,118,209,27,Utah Jazz,27,0.222,0.882,43,13,5,5,0.25,0.741,47,26,16,4,0.34293333333333326,0.7768666666666666,40.4,21.666666666666668,8.066666666666666,5.733333333333333,0.3252666666666667,0.7125333333333331,42.53333333333333,24.333333333333332,9.066666666666666,5.466666666666667
5287,21800368,Denver Nuggets,Charlotte Hornets,107,113,220,6,Charlotte Hornets,6,0.22899999999999998,0.8079999999999999,55,24,6,12,0.371,0.895,48,20,8,9,0.38493333333333335,0.7376,46.13333333333333,28.133333333333333,7.933333333333334,4.266666666666667,0.3503333333333333,0.7816,43.266666666666666,24.266666666666666,8.4,4.4
5288,21800369,Philadelphia 76ers,Detroit Pistons,117,111,228,6,Philadelphia 76ers,6,0.281,0.9520000000000001,40,26,11,12,0.25,0.8109999999999999,49,22,10,3,0.36380000000000007,0.7575333333333333,46.733333333333334,26.933333333333334,6.8,5.2,0.31226666666666664,0.7276666666666666,46.93333333333333,22.266666666666666,7.933333333333334,3.3333333333333335
5289,21800370,Indiana Pacers,Orlando Magic,112,90,202,22,Indiana Pacers,22,0.34600000000000003,0.833,53,26,8,8,0.242,0.769,47,20,3,7,0.36813333333333337,0.7481333333333333,43.333333333333336,25.133333333333333,10.066666666666666,4.733333333333333,0.3897333333333334,0.8310666666666667,40.6,27.266666666666666,6.666666666666667,5.4
5290,21800371,Toronto Raptors,Brooklyn Nets,105,106,211,1,Brooklyn Nets,1,0.314,0.828,41,25,9,7,0.314,0.6920000000000001,60,22,8,2,0.3345333333333333,0.8221333333333334,45.8,24.533333333333335,8.133333333333333,4.866666666666666,0.3320666666666667,0.7394000000000001,45.666666666666664,20.6,6.866666666666666,3.6
5291,21800372,Sacramento Kings,Cleveland Cavaliers,129,110,239,19,Sacramento Kings,19,0.44799999999999995,0.5710000000000001,35,31,6,5,0.385,0.737,35,20,4,0,0.38206666666666667,0.7153333333333333,44.8,25.333333333333332,8.666666666666666,3.8666666666666667,0.3526,0.7691333333333336,45.333333333333336,18.0,6.2,2.6666666666666665
5292,21800373,Oklahoma City Thunder,Chicago Bulls,112,114,226,2,Chicago Bulls,2,0.35700000000000004,0.667,51,25,12,6,0.48,0.696,39,25,15,6,0.32706666666666667,0.7365333333333334,50.2,23.066666666666666,9.8,5.666666666666667,0.30960000000000004,0.8113333333333334,42.46666666666667,21.2,8.466666666666667,4.533333333333333
5293,21800374,Memphis Grizzlies,New Orleans Pelicans,107,103,210,4,Memphis Grizzlies,4,0.42100000000000004,0.75,42,30,10,7,0.24100000000000002,0.833,42,25,5,5,0.3542666666666666,0.7608666666666667,40.46666666666667,23.733333333333334,7.8,7.533333333333333,0.3592666666666667,0.7742,48.6,27.6,7.333333333333333,5.666666666666667
5294,21800375,Los Angeles Lakers,San Antonio Spurs,120,133,253,13,San Antonio Spurs,13,0.306,0.81,43,24,8,1,0.419,0.848,48,27,4,7,0.3422666666666666,0.6994666666666667,47.0,22.666666666666668,7.733333333333333,6.0,0.39466666666666667,0.8355999999999999,43.0,23.133333333333333,5.266666666666667,4.066666666666666
5295,21800376,Miami Heat,Phoenix Suns,115,98,213,17,Miami Heat,17,0.405,0.889,40,32,10,5,0.41200000000000003,0.75,42,27,7,4,0.36266666666666664,0.6699333333333334,46.93333333333333,21.466666666666665,7.933333333333334,6.666666666666667,0.32413333333333333,0.7814666666666668,38.46666666666667,23.133333333333333,9.466666666666667,4.866666666666666
5296,21800377,Golden State Warriors,Milwaukee Bucks,105,95,200,10,Golden State Warriors,10,0.413,0.857,43,32,7,6,0.179,0.696,54,18,10,3,0.36126666666666657,0.8291999999999999,44.333333333333336,25.933333333333334,6.8,6.533333333333333,0.3504666666666667,0.7562000000000001,48.2,27.933333333333334,7.933333333333334,5.466666666666667
5297,21800378,Houston Rockets,Dallas Mavericks,104,107,211,3,Dallas Mavericks,3,0.319,0.846,36,20,5,3,0.4,0.813,44,21,9,3,0.33646666666666664,0.7731333333333333,40.666666666666664,21.0,7.8,5.666666666666667,0.3697999999999999,0.7390666666666665,46.4,22.333333333333332,8.266666666666667,4.533333333333333
5298,21800379,Sacramento Kings,Indiana Pacers,97,107,204,10,Indiana Pacers,10,0.281,0.8,43,24,9,8,0.267,0.8640000000000001,52,26,7,8,0.38526666666666665,0.6992,44.06666666666667,24.866666666666667,8.133333333333333,4.0,0.36826666666666663,0.753,43.86666666666667,25.333333333333332,9.933333333333334,5.133333333333334
5299,21800380,Denver Nuggets,Atlanta Hawks,98,106,204,8,Atlanta Hawks,8,0.25,0.81,48,28,11,4,0.35700000000000004,0.688,51,33,9,11,0.3747333333333333,0.7438666666666667,46.666666666666664,28.066666666666666,8.0,4.8,0.29206666666666664,0.7615333333333335,43.6,24.066666666666666,9.666666666666666,5.533333333333333
5300,21800381,Washington Wizards,Cleveland Cavaliers,101,116,217,15,Cleveland Cavaliers,15,0.368,0.688,33,26,3,3,0.484,0.7,49,26,5,5,0.331,0.7210666666666667,42.266666666666666,25.6,8.933333333333334,5.533333333333333,0.34926666666666667,0.7738,44.86666666666667,18.0,5.933333333333334,2.533333333333333
5301,21800382,Brooklyn Nets,New York Knicks,112,104,216,8,Brooklyn Nets,8,0.5,0.6,45,27,5,5,0.308,0.6,40,22,8,2,0.32873333333333327,0.7410666666666668,46.86666666666667,20.666666666666668,6.933333333333334,3.1333333333333333,0.3496666666666666,0.7847333333333334,46.53333333333333,18.533333333333335,6.8,6.466666666666667
5302,21800383,Boston Celtics,Chicago Bulls,133,77,210,56,Boston Celtics,56,0.512,0.733,54,34,10,4,0.25,0.643,37,16,3,2,0.3576,0.8195333333333334,44.333333333333336,26.066666666666666,9.466666666666667,5.333333333333333,0.3238,0.8088666666666666,41.86666666666667,21.866666666666667,8.866666666666667,4.333333333333333
5303,21800384,Los Angeles Lakers,Memphis Grizzlies,111,88,199,23,Los Angeles Lakers,23,0.4,0.75,57,27,11,6,0.2,0.778,36,17,13,7,0.346,0.7006,47.333333333333336,22.6,7.866666666666666,5.8,0.36013333333333336,0.7600666666666667,41.266666666666666,23.666666666666668,7.933333333333334,7.466666666666667
5304,21800385,Minnesota Timberwolves,Portland Trail Blazers,105,113,218,8,Portland Trail Blazers,8,0.43799999999999994,0.818,40,25,12,7,0.303,0.833,53,23,10,9,0.3766,0.7896666666666667,45.06666666666667,24.133333333333333,9.266666666666667,5.266666666666667,0.3532,0.7734666666666669,47.733333333333334,21.266666666666666,6.533333333333333,4.533333333333333
5305,21800386,Miami Heat,Los Angeles Clippers,121,98,219,23,Miami Heat,23,0.33299999999999996,0.718,57,27,9,6,0.24100000000000002,0.8059999999999999,49,16,5,8,0.36386666666666667,0.6862,46.266666666666666,22.0,7.933333333333334,6.466666666666667,0.37479999999999997,0.8009333333333333,46.06666666666667,22.866666666666667,6.333333333333333,4.866666666666666
5306,21800387,New Orleans Pelicans,Detroit Pistons,116,108,224,8,New Orleans Pelicans,8,0.4,0.87,47,27,5,8,0.31,0.542,47,28,8,5,0.346,0.7745333333333334,47.8,27.4,7.2,5.533333333333333,0.3178,0.7362,47.266666666666666,22.666666666666668,8.066666666666666,3.3333333333333335
5307,21800388,Milwaukee Bucks,Toronto Raptors,104,99,203,5,Milwaukee Bucks,5,0.385,0.85,45,22,6,7,0.341,0.857,45,24,6,11,0.3362,0.7420000000000001,48.06666666666667,27.133333333333333,8.2,5.2,0.33506666666666673,0.8164666666666668,45.0,25.066666666666666,8.066666666666666,5.066666666666666
5308,21800389,Charlotte Hornets,New York Knicks,119,107,226,12,Charlotte Hornets,12,0.353,0.852,42,19,11,4,0.5,0.857,41,28,5,2,0.3528666666666666,0.7797333333333333,43.13333333333333,23.666666666666668,8.733333333333333,4.533333333333333,0.3457333333333333,0.7779333333333334,46.0,19.0,6.8,6.133333333333334
5309,21800390,Utah Jazz,San Antonio Spurs,97,110,207,13,San Antonio Spurs,13,0.31,0.737,38,23,8,4,0.35700000000000004,0.917,46,26,7,7,0.3185333333333334,0.7157999999999998,43.333333333333336,24.0,9.333333333333334,5.066666666666666,0.38926666666666665,0.8427333333333333,43.13333333333333,23.8,5.333333333333333,4.2
5310,21800391,Washington Wizards,Indiana Pacers,101,109,210,8,Indiana Pacers,8,0.33299999999999996,0.708,34,22,13,3,0.5,0.773,50,29,7,7,0.3284,0.7213333333333334,42.13333333333333,25.733333333333334,8.6,5.533333333333333,0.367,0.7661333333333332,44.733333333333334,25.933333333333334,9.866666666666667,5.466666666666667
5311,21800392,Detroit Pistons,Philadelphia 76ers,102,116,218,14,Philadelphia 76ers,14,0.429,0.524,46,23,5,5,0.405,0.657,48,27,9,5,0.31753333333333333,0.7294666666666667,46.4,22.733333333333334,8.066666666666666,3.466666666666667,0.3616666666666666,0.7664666666666666,46.53333333333333,27.066666666666666,7.066666666666666,5.466666666666667
5312,21800393,New Orleans Pelicans,Boston Celtics,100,113,213,13,Boston Celtics,13,0.308,0.737,39,28,11,1,0.308,0.684,51,23,8,5,0.348,0.7915333333333334,47.333333333333336,27.2,7.4,5.8,0.37239999999999995,0.8128666666666667,45.266666666666666,26.866666666666667,9.533333333333333,5.0
5313,21800394,Sacramento Kings,Chicago Bulls,108,89,197,19,Sacramento Kings,19,0.43200000000000005,0.8,42,28,16,4,0.28600000000000003,1.0,40,16,10,3,0.3780666666666666,0.7192,44.0,24.866666666666667,8.333333333333334,4.266666666666667,0.3211333333333333,0.8007333333333333,41.266666666666666,21.733333333333334,8.466666666666667,4.0
